PI	Soil	Sampling_Experiment	sampleID	analysis	Probenummer	Value	characteristic
Selma	Aurora	BX+ and BX- mixed	32	GIUB	56Fe	22.74	Fe_HNO3_g.kg
Selma	Reckenholz2	fresh field soil 2019	40	GIUB	56Fe	20.74	Fe_HNO3_g.kg
Selma	Reckenholz2	fresh field soil 2019	41	GIUB	56Fe	21.96	Fe_HNO3_g.kg
Selma	Reckenholz2	fresh field soil 2019	42	GIUB	56Fe	19.98	Fe_HNO3_g.kg
Lisa	Changins1	Leftover from Selmas	10	GIUB	56Fe	24.29	Fe_HNO3_g.kg
Lisa	Changins1	unconditioned field soil	11	GIUB	56Fe	23.22	Fe_HNO3_g.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	GIUB	56Fe	22.04	Fe_HNO3_g.kg
Selma	Aurora	from George Jander	30	GIUB	57Fe	25.22	Fe_HNO3_g.kg
Selma	Aurora	mixed from genotypes	31	GIUB	57Fe	27.44	Fe_HNO3_g.kg
Selma	Aurora	BX+ and BX- mixed	32	GIUB	57Fe	22.6	Fe_HNO3_g.kg
Selma	Reckenholz2	fresh field soil 2019	40	GIUB	57Fe	20.81	Fe_HNO3_g.kg
Selma	Reckenholz2	fresh field soil 2019	41	GIUB	57Fe	21.98	Fe_HNO3_g.kg
Selma	Reckenholz2	fresh field soil 2019	42	GIUB	57Fe	20	Fe_HNO3_g.kg
Lisa	Changins1	Leftover from Selmas	10	GIUB	57Fe	24.29	Fe_HNO3_g.kg
Lisa	Changins1	unconditioned field soil	11	GIUB	57Fe	23.18	Fe_HNO3_g.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	GIUB	57Fe	22.18	Fe_HNO3_g.kg
Selma	Aurora	from George Jander	W22 KA13-14 (A)	Agroscope	NA	45	sand
Selma	Aurora	from George Jander	W22 KA13-14 (B)	Agroscope	NA	44.1	sand
Selma	Aurora	from George Jander	W22 CE83-84 (A)	Agroscope	NA	41.5	sand
Selma	Aurora	from George Jander	W22 CE83-84 (B)	Agroscope	NA	36.8	sand
Selma	Aurora	from George Jander	BX1 KA12 (A)	Agroscope	NA	41.2	sand
Selma	Aurora	from George Jander	BX1 KA12 (B)	Agroscope	NA	41.4	sand
Selma	Aurora	from George Jander	"BX1 CE71,72 (A)"	Agroscope	NA	36.6	sand
Selma	Aurora	from George Jander	"BX1 CE71,72 (B)"	Agroscope	NA	39.1	sand
Selma	Aurora	from George Jander	BX2 KA16 (A)	Agroscope	NA	36.5	sand
Selma	Aurora	from George Jander	BX2 KA16 (B)	Agroscope	NA	41.7	sand
Selma	Aurora	from George Jander	"BX2 CE73,74 (A)"	Agroscope	NA	41.1	sand
Selma	Aurora	from George Jander	"BX2 CE73,74 (B)"	Agroscope	NA	40	sand
Selma	Aurora	from George Jander	W22 KA13-14 (A)	Agroscope	NA	36.8	silt
